country,year,sex,age,population, gdp_for_year ($) ,suicides_no
Albania,1987,male,15-24 years,312900,"2,15,66,24,900",21
Albania,1987,male,35-54 years,308000,"2,15,66,24,900",16
Albania,1987,female,15-24 years,289700,"2,15,66,24,900",14
Albania,1987,male,75+ years,21800,"2,15,66,24,900",1
Albania,1987,male,25-34 years,274300,"2,15,66,24,900",9
Albania,1987,female,75+ years,35600,"2,15,66,24,900",1
Albania,1987,female,35-54 years,278800,"2,15,66,24,900",6
Albania,1987,female,25-34 years,257200,"2,15,66,24,900",4
Albania,1987,male,55-74 years,137500,"2,15,66,24,900",1
Albania,1987,female,5-14 years,311000,"2,15,66,24,900",0
Albania,1987,female,55-74 years,144600,"2,15,66,24,900",0
Albania,1987,male,5-14 years,338200,"2,15,66,24,900",0
Albania,1988,female,75+ years,36400,"2,12,60,00,000",2
Albania,1988,male,15-24 years,319200,"2,12,60,00,000",17
Albania,1988,male,75+ years,22300,"2,12,60,00,000",1
Albania,1988,male,35-54 years,314100,"2,12,60,00,000",14
Albania,1988,male,55-74 years,140200,"2,12,60,00,000",4
Albania,1988,female,15-24 years,295600,"2,12,60,00,000",8
Albania,1988,female,55-74 years,147500,"2,12,60,00,000",3
Albania,1988,female,25-34 years,262400,"2,12,60,00,000",5
Albania,1988,male,25-34 years,279900,"2,12,60,00,000",5
Albania,1988,female,35-54 years,284500,"2,12,60,00,000",4
Albania,1988,female,5-14 years,317200,"2,12,60,00,000",0
Albania,1988,male,5-14 years,345000,"2,12,60,00,000",0
Albania,1989,male,75+ years,22500,"2,33,51,24,988",2
Albania,1989,male,25-34 years,283600,"2,33,51,24,988",18
Albania,1989,male,35-54 years,318400,"2,33,51,24,988",15
Albania,1989,male,55-74 years,142100,"2,33,51,24,988",6
Albania,1989,male,15-24 years,323500,"2,33,51,24,988",12
Albania,1989,female,35-54 years,288600,"2,33,51,24,988",7
Albania,1989,female,15-24 years,299900,"2,33,51,24,988",5
Albania,1989,female,25-34 years,266300,"2,33,51,24,988",2
Albania,1989,female,55-74 years,149600,"2,33,51,24,988",1
Albania,1989,female,5-14 years,321900,"2,33,51,24,988",0
Albania,1989,female,75+ years,37000,"2,33,51,24,988",0
Albania,1989,male,5-14 years,349700,"2,33,51,24,988",0
Albania,1992,male,35-54 years,343800,"70,94,52,584",12
Albania,1992,male,15-24 years,263700,"70,94,52,584",9
Albania,1992,male,55-74 years,159500,"70,94,52,584",5
Albania,1992,male,25-34 years,245500,"70,94,52,584",7
Albania,1992,female,15-24 years,292400,"70,94,52,584",7
Albania,1992,female,25-34 years,267400,"70,94,52,584",4
Albania,1992,female,35-54 years,323100,"70,94,52,584",2
Albania,1992,female,55-74 years,164900,"70,94,52,584",1
Albania,1992,female,5-14 years,336700,"70,94,52,584",0
Albania,1992,female,75+ years,38700,"70,94,52,584",0
Albania,1992,male,5-14 years,362900,"70,94,52,584",0
Albania,1992,male,75+ years,23900,"70,94,52,584",0
Albania,1993,male,15-24 years,243300,"1,22,80,71,038",18
Albania,1993,male,55-74 years,165000,"1,22,80,71,038",7
Albania,1993,male,75+ years,24200,"1,22,80,71,038",1
Albania,1993,male,25-34 years,230100,"1,22,80,71,038",9
Albania,1993,female,15-24 years,285300,"1,22,80,71,038",10
Albania,1993,male,35-54 years,350300,"1,22,80,71,038",10
Albania,1993,female,25-34 years,261800,"1,22,80,71,038",7
Albania,1993,female,35-54 years,331200,"1,22,80,71,038",7
Albania,1993,female,55-74 years,169500,"1,22,80,71,038",2
Albania,1993,female,5-14 years,340300,"1,22,80,71,038",1
Albania,1993,male,5-14 years,367000,"1,22,80,71,038",1
Albania,1993,female,75+ years,39300,"1,22,80,71,038",0
Albania,1994,male,75+ years,24600,"1,98,56,73,798",2
Albania,1994,male,55-74 years,171400,"1,98,56,73,798",11
Albania,1994,female,75+ years,39900,"1,98,56,73,798",2
Albania,1994,male,25-34 years,231400,"1,98,56,73,798",6
Albania,1994,male,35-54 years,362800,"1,98,56,73,798",9
Albania,1994,male,15-24 years,242200,"1,98,56,73,798",6
Albania,1994,female,15-24 years,282600,"1,98,56,73,798",6
Albania,1994,female,25-34 years,261100,"1,98,56,73,798",4
Albania,1994,female,35-54 years,342500,"1,98,56,73,798",2
Albania,1994,female,55-74 years,174600,"1,98,56,73,798",1
Albania,1994,male,5-14 years,371800,"1,98,56,73,798",1
Albania,1994,female,5-14 years,344400,"1,98,56,73,798",0
Albania,1995,male,25-34 years,232900,"2,42,44,99,009",13
Albania,1995,male,55-74 years,178000,"2,42,44,99,009",9
Albania,1995,female,75+ years,40800,"2,42,44,99,009",2
Albania,1995,female,15-24 years,283500,"2,42,44,99,009",13
Albania,1995,male,15-24 years,241200,"2,42,44,99,009",11
Albania,1995,male,75+ years,25100,"2,42,44,99,009",1
Albania,1995,male,35-54 years,375900,"2,42,44,99,009",14
Albania,1995,female,25-34 years,264000,"2,42,44,99,009",7
Albania,1995,female,35-54 years,356400,"2,42,44,99,009",8
Albania,1995,male,5-14 years,376500,"2,42,44,99,009",6
Albania,1995,female,55-74 years,180400,"2,42,44,99,009",2
Albania,1995,female,5-14 years,348700,"2,42,44,99,009",2
Albania,1996,male,75+ years,25400,"3,31,48,98,292",2
Albania,1996,male,15-24 years,243600,"3,31,48,98,292",17
Albania,1996,male,25-34 years,235300,"3,31,48,98,292",14
Albania,1996,female,15-24 years,287700,"3,31,48,98,292",16
Albania,1996,female,75+ years,41200,"3,31,48,98,292",2
Albania,1996,female,25-34 years,267900,"3,31,48,98,292",10
Albania,1996,male,35-54 years,379600,"3,31,48,98,292",12
Albania,1996,female,35-54 years,362000,"3,31,48,98,292",9
Albania,1996,male,55-74 years,179900,"3,31,48,98,292",3
Albania,1996,female,55-74 years,183100,"3,31,48,98,292",1
Albania,1996,male,5-14 years,380400,"3,31,48,98,292",2
Albania,1996,female,5-14 years,354100,"3,31,48,98,292",1
Albania,1997,male,25-34 years,236000,"2,35,99,03,108",36
Albania,1997,male,15-24 years,244400,"2,35,99,03,108",33
Albania,1997,male,75+ years,25400,"2,35,99,03,108",3
Albania,1997,male,35-54 years,380800,"2,35,99,03,108",30
Albania,1997,female,15-24 years,294000,"2,35,99,03,108",21
Albania,1997,male,55-74 years,180300,"2,35,99,03,108",12
Albania,1997,female,25-34 years,273900,"2,35,99,03,108",16
Albania,1997,female,75+ years,42100,"2,35,99,03,108",2
Albania,1997,female,35-54 years,370100,"2,35,99,03,108",7
Albania,1997,female,5-14 years,361800,"2,35,99,03,108",6
Albania,1997,male,5-14 years,381500,"2,35,99,03,108",4
Albania,1997,female,55-74 years,187000,"2,35,99,03,108",0
Albania,1998,male,75+ years,25800,"2,70,71,23,772",3
Albania,1998,male,15-24 years,248800,"2,70,71,23,772",27
Albania,1998,female,15-24 years,295600,"2,70,71,23,772",32
Albania,1998,male,25-34 years,240400,"2,70,71,23,772",26
Albania,1998,male,35-54 years,388200,"2,70,71,23,772",29
Albania,1998,male,55-74 years,183800,"2,70,71,23,772",9
Albania,1998,female,25-34 years,275300,"2,70,71,23,772",10
Albania,1998,female,55-74 years,188200,"2,70,71,23,772",6
Albania,1998,female,35-54 years,372100,"2,70,71,23,772",9
Albania,1998,male,5-14 years,388400,"2,70,71,23,772",2
Albania,1998,female,5-14 years,363800,"2,70,71,23,772",1
Albania,1998,female,75+ years,42300,"2,70,71,23,772",0
Albania,1999,male,75+ years,25900,"3,41,47,60,915",3
Albania,1999,male,15-24 years,250600,"3,41,47,60,915",24
Albania,1999,female,75+ years,42400,"3,41,47,60,915",4
Albania,1999,male,35-54 years,391100,"3,41,47,60,915",31
Albania,1999,male,25-34 years,242300,"3,41,47,60,915",19
Albania,1999,male,55-74 years,185200,"3,41,47,60,915",14
Albania,1999,female,15-24 years,296800,"3,41,47,60,915",19
Albania,1999,female,25-34 years,276500,"3,41,47,60,915",13
Albania,1999,female,55-74 years,188800,"3,41,47,60,915",6
Albania,1999,female,35-54 years,373600,"3,41,47,60,915",5
Albania,1999,female,5-14 years,365200,"3,41,47,60,915",1
Albania,1999,male,5-14 years,391300,"3,41,47,60,915",0
Albania,2000,male,25-34 years,232000,"3,63,20,43,908",17
Albania,2000,male,55-74 years,177400,"3,63,20,43,908",10
Albania,2000,female,75+ years,37800,"3,63,20,43,908",2
Albania,2000,male,75+ years,24900,"3,63,20,43,908",1
Albania,2000,female,15-24 years,263900,"3,63,20,43,908",6
Albania,2000,male,15-24 years,240000,"3,63,20,43,908",5
Albania,2000,female,35-54 years,332200,"3,63,20,43,908",5
Albania,2000,female,25-34 years,245800,"3,63,20,43,908",3
Albania,2000,male,35-54 years,374700,"3,63,20,43,908",4
Albania,2000,male,5-14 years,374900,"3,63,20,43,908",1
Albania,2000,female,5-14 years,324700,"3,63,20,43,908",0
Albania,2000,female,55-74 years,168000,"3,63,20,43,908",0
Albania,2001,male,25-34 years,206484,"4,06,07,58,804",22
Albania,2001,male,35-54 years,378826,"4,06,07,58,804",34
Albania,2001,male,55-74 years,196670,"4,06,07,58,804",11
Albania,2001,female,75+ years,47254,"4,06,07,58,804",2
Albania,2001,male,15-24 years,256039,"4,06,07,58,804",10
Albania,2001,female,15-24 years,271359,"4,06,07,58,804",9
Albania,2001,female,35-54 years,370191,"4,06,07,58,804",12
Albania,2001,male,75+ years,31044,"4,06,07,58,804",1
Albania,2001,female,55-74 years,189799,"4,06,07,58,804",6
Albania,2001,male,5-14 years,321556,"4,06,07,58,804",6
Albania,2001,female,25-34 years,222771,"4,06,07,58,804",4
Albania,2001,female,5-14 years,307356,"4,06,07,58,804",2
Albania,2002,male,75+ years,31007,"4,43,50,78,648",4
Albania,2002,male,25-34 years,206286,"4,43,50,78,648",23
Albania,2002,male,35-54 years,382139,"4,43,50,78,648",35
Albania,2002,male,55-74 years,198130,"4,43,50,78,648",13
Albania,2002,male,15-24 years,263067,"4,43,50,78,648",15
Albania,2002,female,15-24 years,275970,"4,43,50,78,648",14
Albania,2002,female,35-54 years,375113,"4,43,50,78,648",15
Albania,2002,female,25-34 years,223685,"4,43,50,78,648",7
Albania,2002,female,75+ years,47407,"4,43,50,78,648",1
Albania,2002,female,55-74 years,191712,"4,43,50,78,648",4
Albania,2002,female,5-14 years,304850,"4,43,50,78,648",1
Albania,2002,male,5-14 years,319473,"4,43,50,78,648",1
Albania,2003,female,75+ years,49088,"5,74,69,45,913",6
Albania,2003,male,55-74 years,201520,"5,74,69,45,913",16
Albania,2003,male,35-54 years,386196,"5,74,69,45,913",28
Albania,2003,male,15-24 years,273235,"5,74,69,45,913",15
Albania,2003,female,15-24 years,283709,"5,74,69,45,913",14
Albania,2003,female,55-74 years,195699,"5,74,69,45,913",9
Albania,2003,male,25-34 years,205433,"5,74,69,45,913",9
Albania,2003,female,25-34 years,222941,"5,74,69,45,913",9
Albania,2003,female,35-54 years,381760,"5,74,69,45,913",13
Albania,2003,male,75+ years,32667,"5,74,69,45,913",1
Albania,2003,male,5-14 years,313204,"5,74,69,45,913",4
Albania,2003,female,5-14 years,298477,"5,74,69,45,913",0
Albania,2004,male,75+ years,35526,"7,31,48,65,176",4
Albania,2004,male,35-54 years,391767,"7,31,48,65,176",39
Albania,2004,male,25-34 years,203938,"7,31,48,65,176",16
Albania,2004,female,15-24 years,292268,"7,31,48,65,176",20
Albania,2004,male,15-24 years,286768,"7,31,48,65,176",19
Albania,2004,female,75+ years,50970,"7,31,48,65,176",3
Albania,2004,female,25-34 years,222389,"7,31,48,65,176",11
Albania,2004,male,55-74 years,207202,"7,31,48,65,176",10
Albania,2004,female,35-54 years,391436,"7,31,48,65,176",17
Albania,2004,female,55-74 years,203841,"7,31,48,65,176",3
Albania,2004,female,5-14 years,286705,"7,31,48,65,176",3
Albania,2004,male,5-14 years,302181,"7,31,48,65,176",1
Albania,2005,female,15-24 years,281922,"8,15,85,48,717",0
Albania,2005,female,25-34 years,190745,"8,15,85,48,717",0
Albania,2005,female,35-54 years,386513,"8,15,85,48,717",0
Albania,2005,female,5-14 years,276559,"8,15,85,48,717",0
Albania,2005,female,55-74 years,210998,"8,15,85,48,717",0
Albania,2005,female,75+ years,53191,"8,15,85,48,717",0
Albania,2005,male,15-24 years,281675,"8,15,85,48,717",0
Albania,2005,male,25-34 years,177519,"8,15,85,48,717",0
Albania,2005,male,35-54 years,380242,"8,15,85,48,717",0
Albania,2005,male,5-14 years,291367,"8,15,85,48,717",0
Albania,2005,male,55-74 years,214118,"8,15,85,48,717",0
Albania,2005,male,75+ years,38471,"8,15,85,48,717",0
Albania,2006,female,15-24 years,283138,"8,99,26,42,349",0
Albania,2006,female,25-34 years,186391,"8,99,26,42,349",0
Albania,2006,female,35-54 years,388746,"8,99,26,42,349",0
Albania,2006,female,5-14 years,267316,"8,99,26,42,349",0
Albania,2006,female,55-74 years,215907,"8,99,26,42,349",0
Albania,2006,female,75+ years,56011,"8,99,26,42,349",0
Albania,2006,male,15-24 years,286679,"8,99,26,42,349",0
Albania,2006,male,25-34 years,174092,"8,99,26,42,349",0
Albania,2006,male,35-54 years,379076,"8,99,26,42,349",0
Albania,2006,male,5-14 years,282678,"8,99,26,42,349",0
Albania,2006,male,55-74 years,219360,"8,99,26,42,349",0
Albania,2006,male,75+ years,40782,"8,99,26,42,349",0
Albania,2007,male,75+ years,42366,"10,70,10,11,897",8
Albania,2007,male,35-54 years,378626,"10,70,10,11,897",29
Albania,2007,male,55-74 years,224160,"10,70,10,11,897",14
Albania,2007,female,75+ years,57404,"10,70,10,11,897",3
Albania,2007,male,25-34 years,172494,"10,70,10,11,897",9
Albania,2007,female,15-24 years,281080,"10,70,10,11,897",13
Albania,2007,male,15-24 years,288349,"10,70,10,11,897",13
Albania,2007,female,25-34 years,183629,"10,70,10,11,897",8
Albania,2007,female,55-74 years,221120,"10,70,10,11,897",9
Albania,2007,female,35-54 years,391811,"10,70,10,11,897",14
Albania,2007,male,5-14 years,272497,"10,70,10,11,897",4
Albania,2007,female,5-14 years,256808,"10,70,10,11,897",0
Albania,2008,male,25-34 years,172855,"12,88,13,52,688",21
Albania,2008,male,35-54 years,377119,"12,88,13,52,688",37
Albania,2008,male,55-74 years,228672,"12,88,13,52,688",21
Albania,2008,female,75+ years,59369,"12,88,13,52,688",5
Albania,2008,female,15-24 years,276073,"12,88,13,52,688",20
Albania,2008,female,25-34 years,182663,"12,88,13,52,688",9
Albania,2008,female,35-54 years,393832,"12,88,13,52,688",19
Albania,2008,male,75+ years,44574,"12,88,13,52,688",2
Albania,2008,male,15-24 years,286702,"12,88,13,52,688",11
Albania,2008,female,55-74 years,226448,"12,88,13,52,688",7
Albania,2008,male,5-14 years,262464,"12,88,13,52,688",7
Albania,2008,female,5-14 years,246288,"12,88,13,52,688",1
Albania,2009,female,15-24 years,270003,"12,04,42,12,904",0
Albania,2009,female,25-34 years,182712,"12,04,42,12,904",0
Albania,2009,female,35-54 years,394286,"12,04,42,12,904",0
Albania,2009,female,5-14 years,236174,"12,04,42,12,904",0
Albania,2009,female,55-74 years,233302,"12,04,42,12,904",0
Albania,2009,female,75+ years,61582,"12,04,42,12,904",0
Albania,2009,male,15-24 years,283448,"12,04,42,12,904",0
Albania,2009,male,25-34 years,174955,"12,04,42,12,904",0
Albania,2009,male,35-54 years,374365,"12,04,42,12,904",0
Albania,2009,male,5-14 years,253007,"12,04,42,12,904",0
Albania,2009,male,55-74 years,234570,"12,04,42,12,904",0
Albania,2009,male,75+ years,47331,"12,04,42,12,904",0
Albania,2010,male,55-74 years,241852,"11,92,69,53,259",20
Albania,2010,male,35-54 years,371611,"11,92,69,53,259",20
Albania,2010,male,25-34 years,179720,"11,92,69,53,259",9
Albania,2010,male,75+ years,50767,"11,92,69,53,259",2
Albania,2010,male,15-24 years,279508,"11,92,69,53,259",10
Albania,2010,female,25-34 years,183579,"11,92,69,53,259",6
Albania,2010,female,75+ years,64415,"11,92,69,53,259",2
Albania,2010,female,35-54 years,394593,"11,92,69,53,259",12
Albania,2010,female,55-74 years,241491,"11,92,69,53,259",7
Albania,2010,female,15-24 years,263581,"11,92,69,53,259",6
Albania,2010,female,5-14 years,223969,"11,92,69,53,259",2
Albania,2010,male,5-14 years,240939,"11,92,69,53,259",0
Antigua and Barbuda,1985,female,15-24 years,7709,"24,09,23,926",0
Antigua and Barbuda,1985,female,25-34 years,6344,"24,09,23,926",0
Antigua and Barbuda,1985,female,35-54 years,6173,"24,09,23,926",0
Antigua and Barbuda,1985,female,5-14 years,7339,"24,09,23,926",0
Antigua and Barbuda,1985,female,55-74 years,3778,"24,09,23,926",0
Antigua and Barbuda,1985,female,75+ years,949,"24,09,23,926",0
Antigua and Barbuda,1985,male,15-24 years,7667,"24,09,23,926",0
Antigua and Barbuda,1985,male,25-34 years,6194,"24,09,23,926",0
Antigua and Barbuda,1985,male,35-54 years,5970,"24,09,23,926",0
Antigua and Barbuda,1985,male,5-14 years,7304,"24,09,23,926",0
Antigua and Barbuda,1985,male,55-74 years,2723,"24,09,23,926",0
Antigua and Barbuda,1985,male,75+ years,424,"24,09,23,926",0
Antigua and Barbuda,1986,female,15-24 years,7668,"29,04,40,148",0
Antigua and Barbuda,1986,female,25-34 years,6209,"29,04,40,148",0
Antigua and Barbuda,1986,female,35-54 years,6101,"29,04,40,148",0
Antigua and Barbuda,1986,female,5-14 years,6907,"29,04,40,148",0
Antigua and Barbuda,1986,female,55-74 years,3764,"29,04,40,148",0
Antigua and Barbuda,1986,female,75+ years,1014,"29,04,40,148",0
Antigua and Barbuda,1986,male,15-24 years,7563,"29,04,40,148",0
Antigua and Barbuda,1986,male,25-34 years,6023,"29,04,40,148",0
Antigua and Barbuda,1986,male,35-54 years,5947,"29,04,40,148",0
Antigua and Barbuda,1986,male,5-14 years,6827,"29,04,40,148",0
Antigua and Barbuda,1986,male,55-74 years,2771,"29,04,40,148",0
Antigua and Barbuda,1986,male,75+ years,476,"29,04,40,148",0
Antigua and Barbuda,1987,female,15-24 years,7583,"33,71,74,852",0
Antigua and Barbuda,1987,female,25-34 years,6101,"33,71,74,852",0
Antigua and Barbuda,1987,female,35-54 years,6059,"33,71,74,852",0
Antigua and Barbuda,1987,female,5-14 years,6623,"33,71,74,852",0
Antigua and Barbuda,1987,female,55-74 years,3738,"33,71,74,852",0
Antigua and Barbuda,1987,female,75+ years,1081,"33,71,74,852",0
Antigua and Barbuda,1987,male,15-24 years,7421,"33,71,74,852",0
Antigua and Barbuda,1987,male,25-34 years,5893,"33,71,74,852",0
Antigua and Barbuda,1987,male,35-54 years,5927,"33,71,74,852",0
Antigua and Barbuda,1987,male,5-14 years,6499,"33,71,74,852",0
Antigua and Barbuda,1987,male,55-74 years,2798,"33,71,74,852",0
Antigua and Barbuda,1987,male,75+ years,538,"33,71,74,852",0
Antigua and Barbuda,1988,female,15-24 years,7413,"39,86,37,741",0
Antigua and Barbuda,1988,female,25-34 years,6041,"39,86,37,741",0
Antigua and Barbuda,1988,female,35-54 years,6021,"39,86,37,741",0
Antigua and Barbuda,1988,female,5-14 years,6527,"39,86,37,741",0
Antigua and Barbuda,1988,female,55-74 years,3708,"39,86,37,741",0
Antigua and Barbuda,1988,female,75+ years,1141,"39,86,37,741",0
Antigua and Barbuda,1988,male,15-24 years,7209,"39,86,37,741",0
Antigua and Barbuda,1988,male,25-34 years,5826,"39,86,37,741",0
Antigua and Barbuda,1988,male,35-54 years,5907,"39,86,37,741",0
Antigua and Barbuda,1988,male,5-14 years,6355,"39,86,37,741",0
Antigua and Barbuda,1988,male,55-74 years,2813,"39,86,37,741",0
Antigua and Barbuda,1988,male,75+ years,603,"39,86,37,741",0
Antigua and Barbuda,1989,female,15-24 years,7152,"43,87,94,778",0
Antigua and Barbuda,1989,female,25-34 years,6059,"43,87,94,778",0
Antigua and Barbuda,1989,female,35-54 years,5969,"43,87,94,778",0
Antigua and Barbuda,1989,female,5-14 years,6621,"43,87,94,778",0
Antigua and Barbuda,1989,female,55-74 years,3696,"43,87,94,778",0
Antigua and Barbuda,1989,female,75+ years,1195,"43,87,94,778",0
Antigua and Barbuda,1989,male,15-24 years,6927,"43,87,94,778",0
Antigua and Barbuda,1989,male,25-34 years,5835,"43,87,94,778",0
Antigua and Barbuda,1989,male,35-54 years,5862,"43,87,94,778",0
Antigua and Barbuda,1989,male,5-14 years,6403,"43,87,94,778",0
Antigua and Barbuda,1989,male,55-74 years,2843,"43,87,94,778",0
Antigua and Barbuda,1989,male,75+ years,676,"43,87,94,778",0
Antigua and Barbuda,1990,male,35-54 years,5799,"45,94,69,074",1
Antigua and Barbuda,1990,female,15-24 years,6827,"45,94,69,074",0
Antigua and Barbuda,1990,female,25-34 years,6172,"45,94,69,074",0
Antigua and Barbuda,1990,female,35-54 years,5895,"45,94,69,074",0
Antigua and Barbuda,1990,female,5-14 years,6877,"45,94,69,074",0
Antigua and Barbuda,1990,female,55-74 years,3706,"45,94,69,074",0
Antigua and Barbuda,1990,female,75+ years,1252,"45,94,69,074",0
Antigua and Barbuda,1990,male,15-24 years,6598,"45,94,69,074",0
Antigua and Barbuda,1990,male,25-34 years,5937,"45,94,69,074",0
Antigua and Barbuda,1990,male,5-14 years,6611,"45,94,69,074",0
Antigua and Barbuda,1990,male,55-74 years,2902,"45,94,69,074",0
Antigua and Barbuda,1990,male,75+ years,758,"45,94,69,074",0
Antigua and Barbuda,1991,female,15-24 years,6595,"48,17,06,333",0
Antigua and Barbuda,1991,female,25-34 years,6396,"48,17,06,333",0
Antigua and Barbuda,1991,female,35-54 years,6198,"48,17,06,333",0
Antigua and Barbuda,1991,female,5-14 years,7089,"48,17,06,333",0
